time                            horizontal-angle     elevation-angle
2020-11-10 10:02:19.639          30.000          -0.000 
2020-11-10 10:02:20.640          30.000          -0.000 
2020-11-10 10:02:21.640          30.000          -0.000 
2020-11-10 10:02:22.641          30.000          -0.000 
2020-11-10 10:02:23.642          30.000          -0.000 
2020-11-10 10:02:24.643          30.000          -0.000 
2020-11-10 10:02:25.644          30.000          -0.000 
2020-11-10 10:02:26.644          30.000          -0.000 
2020-11-10 10:02:27.645          30.000          -0.000 
2020-11-10 10:02:28.646          30.000          -0.000 
2020-11-10 10:02:29.647          30.000          -0.000 
2020-11-10 10:02:30.647          30.000          -0.000 
2020-11-10 10:02:31.648          30.000          -0.000 
2020-11-10 10:02:32.649          30.000          -0.000 
2020-11-10 10:02:33.650          30.000          -0.000 
2020-11-10 10:02:34.650          30.000          -0.000 
2020-11-10 10:02:35.651          30.000          -0.000 
2020-11-10 10:02:36.652          30.000          -0.000 
2020-11-10 10:02:37.653          30.000          -0.000 
2020-11-10 10:02:38.654          30.000          -0.000 
2020-11-10 10:02:39.655          30.000          -0.000 
2020-11-10 10:02:40.655          30.000          -0.000 
2020-11-10 10:02:41.656          30.000          -0.000 
2020-11-10 10:02:42.657          30.000          -0.000 
2020-11-10 10:02:43.658          30.000          -0.000 
2020-11-10 10:02:44.659          30.000          -0.000 
2020-11-10 10:02:45.659          30.000          -0.000 
2020-11-10 10:02:46.660          30.000          -0.000 
2020-11-10 10:02:47.661          30.000          -0.000 
2020-11-10 10:02:48.662          30.000          -0.000 
2020-11-10 10:02:49.662          30.000          -0.000 
2020-11-10 10:02:50.663          30.000          -0.000 
2020-11-10 10:02:51.664          30.000          -0.000 
2020-11-10 10:02:52.665          30.000          -0.000 
2020-11-10 10:02:53.666          30.000          -0.000 
2020-11-10 10:02:54.666          30.000          -0.000 
2020-11-10 10:02:55.667          30.000          -0.000 
2020-11-10 10:02:56.668          30.000          -0.000 
2020-11-10 10:02:57.669          30.000          -0.000 
2020-11-10 10:02:58.669          30.000          -0.000 
2020-11-10 10:02:59.670          30.000          -0.000 
2020-11-10 10:03:00.671          30.000          -0.000 
2020-11-10 10:03:01.672          30.000          -0.000 
2020-11-10 10:03:02.673          30.000          -0.000 
2020-11-10 10:03:03.673          30.000          -0.000 
2020-11-10 10:03:04.674          30.000          -0.000 
2020-11-10 10:03:05.675          30.000          -0.000 
2020-11-10 10:03:06.676          30.000          -0.000 
2020-11-10 10:03:07.676          30.000          -0.000 
2020-11-10 10:03:08.677          30.000          -0.000 
2020-11-10 10:03:09.678          30.000          -0.000 
2020-11-10 10:03:10.679          30.000          -0.000 
2020-11-10 10:03:11.679          30.000          -0.000 
2020-11-10 10:03:12.680          30.000          -0.000 
2020-11-10 10:03:13.681          30.000          -0.000 
2020-11-10 10:03:14.682          30.000          -0.000 
2020-11-10 10:03:15.684          30.000          -0.000 
2020-11-10 10:03:16.685          30.000          -0.000 
2020-11-10 10:03:17.686          30.000          -0.000 
2020-11-10 10:03:18.687          30.000          -0.000 
2020-11-10 10:03:19.688          30.000          -0.000 
2020-11-10 10:03:20.689          30.000          -0.000 
2020-11-10 10:03:21.689          30.000          -0.000 
2020-11-10 10:03:22.690          30.000          -0.000 
2020-11-10 10:03:23.691          30.000          -0.000 
2020-11-10 10:03:24.691          30.000          -0.000 
2020-11-10 10:03:25.692          30.000          -0.000 
2020-11-10 10:03:26.693          30.000          -0.000 
2020-11-10 10:03:27.694          30.000          -0.000 
2020-11-10 10:03:28.694          30.000          -0.000 
2020-11-10 10:03:29.695          30.000          -0.000 
2020-11-10 10:03:30.696          30.000          -0.000 
2020-11-10 10:03:31.697          30.000          -0.000 
2020-11-10 10:03:32.698          30.000          -0.000 
2020-11-10 10:03:33.698          30.000          -0.000 
2020-11-10 10:03:34.699          30.000          -0.000 
2020-11-10 10:03:35.700          30.000          -0.000 
2020-11-10 10:03:36.701          30.000          -0.000 
2020-11-10 10:03:37.701          30.000          -0.000 
2020-11-10 10:03:38.702          30.000          -0.000 
2020-11-10 10:03:39.703          30.000          -0.000 
2020-11-10 10:03:40.704          30.000          -0.000 
2020-11-10 10:03:41.705          30.000          -0.000 
2020-11-10 10:03:42.705          30.000          -0.000 
2020-11-10 10:03:43.706          30.000          -0.000 
2020-11-10 10:03:44.707          30.000          -0.000 
2020-11-10 10:03:45.708          30.000          -0.000 
2020-11-10 10:03:46.708          30.000          -0.000 
2020-11-10 10:03:47.709          30.000          -0.000 
2020-11-10 10:03:48.710          30.000          -0.000 
2020-11-10 10:03:49.711          30.000          -0.000 
2020-11-10 10:03:50.712          30.000          -0.000 
2020-11-10 10:03:51.712          30.000          -0.000 
2020-11-10 10:03:52.713          30.000          -0.000 
2020-11-10 10:03:53.714          30.000          -0.000 
2020-11-10 10:03:54.715          30.000          -0.000 
2020-11-10 10:03:55.715          30.000          -0.000 
2020-11-10 10:03:56.716          30.000          -0.000 
2020-11-10 10:03:57.717          30.000          -0.000 
2020-11-10 10:03:58.718          30.000          -0.000 
2020-11-10 10:03:59.718          30.000          -0.000 
2020-11-10 10:04:00.719          30.000          -0.000 
2020-11-10 10:04:01.720          30.000          -0.000 
2020-11-10 10:04:02.721          30.000          -0.000 
